Cement;FlyAsh;Water;Superplasticizer;CoarseAggregate;FineAggregate;Age;Strength
185.7;101.5;166.9;7.5;1006.4;905.4;90;38.28
170.7;127.4;161.8;7.8;1090;798.5;3;17.11
180.7;127.4;166.1;7.8;1090;798.6;14;23.34
160.7;127.4;162.1;7.8;1090;804;28;27.41
242.1;125.6;184.3;5.7;1057.6;779.3;14;21.91
212.1;125.6;184.2;5.7;1057.6;779.3;28;21.81
212.1;124.6;184.2;5.7;1057.6;779.3;56;33.21
240;118.3;191.9;4.6;1029.4;758.6;90;32.31
195.3;124.2;160.8;9.9;1088.1;802.6;3;9.49
190.7;124.2;161.9;9.9;1088.1;802.6;14;23.1
168.1;168.3;172.4;4.5;1058.6;780.1;3;11.78
136.1;163.3;176.5;4.5;1058.6;780.1;14;27.49
165.2;161.3;172.4;4.5;1058.6;780.1;28;25.2
230.6;118.2;195.2;6.1;1028.1;757.6;3;15.47
228.7;119.2;191.3;6.1;1028.1;757.6;14;21.31
229.7;118.2;195.2;6.1;1028.1;757.6;90;42.37
248.1;94.1;186.7;7;949.9;847;3;21.43
238.1;92.1;188.7;7;949.9;847;14;26.6
248.1;92.1;186.7;7;949.9;847;90;47.83
250.5;95.7;187.4;5.5;956.9;861.2;3;12.78
251;95.7;186.5;5.5;956.9;861.2;14;27.4
212.5;124.9;159;7.8;1085.4;799.5;3;18.42
212.6;124.7;181.9;5.8;1028.4;757.7;14;30.92
251.8;124.2;188.5;6.4;1028.4;810.7;56;34.9
251.9;122.8;181.6;6.4;1028.4;757.7;90;45.2
181.8;122.8;169.6;7.6;1055.6;810.7;3;14.61
181.8;122.8;170.6;7.6;1055.6;810.7;14;22.93
181.8;122.8;169.6;7.6;1055.6;777.8;28;28.79
182.5;124.4;170.6;7.6;1055.6;777.8;56;37.77
181.4;121.8;169.6;7.6;1055.6;777.8;90;46.77
250.1;124.8;168.3;9.4;961.2;865;90;45.99
230.1;124.8;160.6;11.8;973.9;875.6;3;22.11
220.8;124.8;146.1;12.4;1006;899.8;28;31.74
210.8;124.8;143.3;12;1086.8;800.9;56;62.55
220.8;124.7;141.1;12;1086.8;800.9;90;62.32
213.7;124.7;154.8;10.2;1053.5;776.4;28;43.15
213.7;124.8;155;10.2;1053.5;776.4;56;47.14
213.7;124.8;154.8;10.2;1053.5;77.6;90;54.09
213.5;124.8;155.6;11.7;1052.3;775.5;3;19.64
213.5;124.8;154.6;11.7;1052.3;800;14;36.98
213.5;124.8;155.7;11.7;1052.3;800;28;42.44
213.5;124.8;154.6;11.7;1052.3;800.5;56;49.43
213.5;124.8;155.5;11.7;1052.3;800;90;58.4
218.9;124.8;158.5;11.3;1078.7;794.9;56;40.21
218.9;124.8;160.1;11.3;1078.7;794.9;90;45.25
376;124.8;216.7;0;1003.5;762.4;3;18.98
190.3;124.8;165.6;9.9;1079;798.9;14;20.22
165;124.8;163.8;0;1005.6;900.9;28;26.11
190.3;124.8;165.3;9.9;1079;798.9;28;26.67
250;124.8;192.8;5.3;948.9;857.2;28;28.21
213.5;124.8;159.2;11.7;1043.6;771.9;28;44.61
194.7;124.8;171.5;7.5;998;901.8;28;39.27
251.4;124.8;192.9;5.8;1043.6;754.3;28;36.99
310;124.8;189.9;0;936.2;712.2;28;40.94
280;124.8;189.9;0;936.2;700;7;36.57
290.2;124.8;183.6;0;1069.2;754.3;7;23.18
252.5;124.8;186.7;0;1111.6;784.3;7;13.11
339;124.8;197;0;968;800;3;18.24
257;124.8;192.8;0;968;856.5;90;27.54
254;124.8;192.7;0;968;799.7;90;28.66
307;124.8;193.5;0;968;799.5;28;29.33
307;124.8;191.2;0;968;799.5;90;35.92
290;124.8;192.2;0;936;755;28;46.29
297;124.8;191.3;0;936;755;90;51.18
299;124.8;187.3;0;966;763;3;17.11
288;124.8;188.6;0;966;758;7;21.21
289;124.8;188.6;0;966;759;14;29.22
292;124.8;187.3;0;966;763;28;33.55
331;124.8;192.2;0;978;801;90;40.1
349;124.8;192.2;0;1047;806;3;16.59
295;124.8;185.3;0;1069;769.4;28;27.19
238;124.8;185.2;0;1118;789;28;16.84
296;124.7;191.3;0;1085;765.5;7;16.83
322.5;124.8;203.4;0;974;840;14;24.11
322;124.4;201.5;0;974;800.2;28;26.15
322;124.7;202.7;0;974;820;90;30.57
302;124.8;202.7;0;974;817;28;26.11
312.5;124.6;182.4;0;1040;734;28;40.08
317;124.8;192.5;0;936;721;3;26.29
210;124.8;142.5;0;896;896;7;49.41
220.9;124.8;142.5;0;896;896;28;72.11
144;124.8;158.2;18;943;844;28;17.42
148;124.8;158.4;16;1002;830;28;19.95
326;124.6;199.1;11;801;792;28;39.78
290;124.8;220.5;11;898;713;28;9.59
299.8;124.8;211.5;9.9;878.2;727.6;28;25.81
148.1;124.6;159.2;16.1;1001.8;830.1;28;18.98
326.5;124.8;193.3;10.8;801.1;792.5;28;35.61
276.4;124.8;217.4;11;897.7;712.9;28;9.55
150.7;124.8;164.6;15.6;1074.5;687;28;15.44
190.8;124.8;185.1;11.1;979.5;811;28;15.21
190.9;124.8;168.2;11.6;991.2;784;28;18.66
188.7;124.8;182.4;11.7;1023.3;732;28;20.01
298.1;124.6;189.4;6.1;879;815;28;41.64
318.9;124.8;212.7;5.7;860.5;725;28;36.09
355.9;124.5;196.3;11;801.4;769;28;36.27
199.8;124.8;185.4;12.6;849.3;856.5;28;18.01
278.7;124.8;170.3;10.1;925.3;782;28;41.16
540;0;162;2.5;1040;676;28;79.99
540;0;162;2.5;1055;676;28;61.89
475;0;228;0;932;594;28;39.29
380;0;228;0;932;670;90;52.91
475;0;228;0;932;594;180;42.62
380;0;228;0;932;670;365;52.52
380;0;228;0;932;670;270;53.3
475;0;228;0;932;594;7;38.6
475;0;228;0;932;594;270;42.13
475;0;228;0;932;594;90;42.23
380;0;228;0;932;670;180;53.1
349;0;192;0;1047;806.9;3;15.05
475;0;228;0;932;594;365;41.93
310;0;192;0;971;850.6;3;9.87
485;0;146;0;1120;800;28;71.99
531.3;0;141.8;28.2;852.1;893.7;3;41.3
531.3;0;141.8;28.2;852.1;893.7;7;46.9
531.3;0;141.8;28.2;852.1;893.7;28;56.4
531.3;0;141.8;28.2;852.1;893.7;56;58.8
531.3;0;141.8;28.2;852.1;893.7;91;59.2
290.4;96.2;168.1;9.4;961.2;865;3;22.5
290.4;96.2;168.1;9.4;961.2;865;14;34.67
290.4;96.2;168.1;9.4;961.2;865;28;34.74
290.4;96.2;168.1;9.4;961.2;865;56;45.08
290.4;96.2;168.1;9.4;961.2;865;100;48.97
277.1;97.4;160.6;11.8;973.9;875.6;3;23.14
277.1;97.4;160.6;11.8;973.9;875.6;14;41.89
277.1;97.4;160.6;11.8;973.9;875.6;28;48.28
277.1;97.4;160.6;11.8;973.9;875.6;56;51.04
277.1;97.4;160.6;11.8;973.9;875.6;100;55.64
295.7;95.6;171.5;8.9;955.1;859.2;3;22.95
295.7;95.6;171.5;8.9;955.1;859.2;14;35.23
295.7;95.6;171.5;8.9;955.1;859.2;28;39.94
295.7;95.6;171.5;8.9;955.1;859.2;56;48.72
295.7;95.6;171.5;8.9;955.1;859.2;100;52.04
251.8;99.9;146.1;12.4;1006;899.8;3;21.02
251.8;99.9;146.1;12.4;1006;899.8;14;33.36
251.8;99.9;146.1;12.4;1006;899.8;28;33.94
251.8;99.9;146.1;12.4;1006;899.8;56;44.14
251.8;99.9;146.1;12.4;1006;899.8;100;45.37
249.1;98.8;158.1;12.8;987.8;889;3;15.36
249.1;98.8;158.1;12.8;987.8;889;14;28.68
249.1;98.8;158.1;12.8;987.8;889;28;30.85
249.1;98.8;158.1;12.8;987.8;889;56;42.03
249.1;98.8;158.1;12.8;987.8;889;100;51.06
252.3;98.8;146.3;14.2;987.8;889;3;21.78
252.3;98.8;146.3;14.2;987.8;889;14;42.29
252.3;98.8;146.3;14.2;987.8;889;28;50.6
252.3;98.8;146.3;14.2;987.8;889;56;55.83
252.3;98.8;146.3;14.2;987.8;889;100;60.95
246.8;125.1;143.3;12;1086.8;800.9;3;23.52
246.8;125.1;143.3;12;1086.8;800.9;14;42.22
246.8;125.1;143.3;12;1086.8;800.9;28;52.5
246.8;125.1;143.3;12;1086.8;800.9;56;60.32
246.8;125.1;143.3;12;1086.8;800.9;100;66.42
275.1;121.4;159.5;9.9;1053.6;777.5;3;23.8
275.1;121.4;159.5;9.9;1053.6;777.5;14;38.77
275.1;121.4;159.5;9.9;1053.6;777.5;28;51.33
275.1;121.4;159.5;9.9;1053.6;777.5;56;56.85
275.1;121.4;159.5;9.9;1053.6;777.5;100;58.61
297.2;117.5;174.8;9.5;1022.8;753.5;3;21.91
297.2;117.5;174.8;9.5;1022.8;753.5;14;36.99
297.2;117.5;174.8;9.5;1022.8;753.5;28;47.4
297.2;117.5;174.8;9.5;1022.8;753.5;56;51.96
297.2;117.5;174.8;9.5;1022.8;753.5;100;56.74
376;0;214.6;0;1003.5;762.4;3;16.28
376;0;214.6;0;1003.5;762.4;14;25.62
376;0;214.6;0;1003.5;762.4;28;31.97
376;0;214.6;0;1003.5;762.4;56;36.3
376;0;214.6;0;1003.5;762.4;100;43.06
500;0;140;4;966;853;28;67.57
475;59;142;1.9;1098;641;28;57.23
505;60;195;0;1030;630;28;64.02
451;0;165;11.3;1030;745;28;78.8
516;0;162;8.2;801;802;28;41.37
520;0;170;5.2;855;855;28;60.28
528;0;185;6.9;920;720;28;56.83
520;0;175;5.2;870;805;28;51.02
385;136;158;20;903;768;28;55.55
500.1;0;200;3;1124.4;613.2;28;44.13
405;0;175;0;1120;695;28;52.3
516;0;162;8.3;801;802;28;41.37
475;0;162;9.5;1044;662;28;58.52
500;0;151;9;1033;655;28;69.84
436;0;218;0;838.4;719.7;28;23.85
289;0;192;0;913.2;895.3;90;32.07
289;0;192;0;913.2;895.3;3;11.65
393;0;192;0;940.6;785.6;3;19.2
393;0;192;0;940.6;785.6;90;48.85
393;0;192;0;940.6;785.6;28;39.6
480;0;192;0;936.2;712.2;28;43.94
480;0;192;0;936.2;712.2;7;34.57
480;0;192;0;936.2;712.2;90;54.32
480;0;192;0;936.2;712.2;3;24.4
333;0;192;0;931.2;842.6;3;15.62
289;0;192;0;913.2;895.3;7;14.6
333;0;192;0;931.2;842.6;28;31.97
333;0;192;0;931.2;842.6;7;23.4
289;0;192;0;913.2;895.3;28;25.57
333;0;192;0;931.2;842.6;90;41.68
393;0;192;0;940.6;785.6;7;27.74
397;0;185.7;0;1040.6;734.3;28;33.08
382.5;0;185.7;0;1047.8;739.3;7;24.07
295.8;0;185.7;0;1091.4;769.3;7;14.84
397;0;185.7;0;1040.6;734.3;7;25.45
381.4;0;185.7;0;1104.6;784.3;28;22.49
295.8;0;185.7;0;1091.4;769.3;28;25.22
339.2;0;185.7;0;1069.2;754.3;7;21.18
381.4;0;185.7;0;1104.6;784.3;7;14.54
339.2;0;185.7;0;1069.2;754.3;28;31.9
382.5;0;185.7;0;1047.8;739.3;28;37.44
339;0;197;0;968;781;3;13.22
339;0;197;0;968;781;7;20.97
339;0;197;0;968;781;14;27.04
339;0;197;0;968;781;28;32.04
339;0;197;0;968;781;90;35.17
339;0;197;0;968;781;180;36.45
339;0;197;0;968;781;365;38.89
277;0;191;0;968;856;14;21.26
277;0;191;0;968;856;28;25.97
277;0;191;0;968;856;3;11.36
277;0;191;0;968;856;90;31.25
277;0;191;0;968;856;180;32.33
277;0;191;0;968;856;360;33.7
307;0;193;0;968;812;180;34.49
307;0;193;0;968;812;365;36.15
307;0;193;0;968;812;3;12.54
307;0;193;0;968;812;28;27.53
307;0;193;0;968;812;90;32.92
325;0;184;0;1063;783;7;17.54
325;0;184;0;1063;783;28;30.57
275;0;183;0;1088;808;7;14.2
275;0;183;0;1088;808;28;24.5
300;0;184;0;1075;795;7;15.58
300;0;184;0;1075;795;28;26.85
375;0;186;0;1038;758;7;26.06
375;0;186;0;1038;758;28;38.21
400;0;187;0;1025;745;28;43.7
400;0;187;0;1025;745;7;30.14
350;0;186;0;1050;770;7;20.28
350;0;186;0;1050;770;28;34.29
310;0;192;0;1012;830;3;11.85
310;0;192;0;1012;830;7;17.24
310;0;192;0;1012;830;28;27.83
310;0;192;0;1012;830;90;35.76
310;0;192;0;1012;830;120;38.7
331;0;192;0;1025;821;3;14.31
331;0;192;0;1025;821;7;17.44
331;0;192;0;1025;821;28;31.74
331;0;192;0;1025;821;90;37.91
331;0;192;0;1025;821;120;39.38
349;0;192;0;1056;809;3;15.87
349;0;192;0;1056;809;7;9.01
349;0;192;0;1056;809;28;33.61
349;0;192;0;1056;809;90;40.66
349;0;192;0;1056;809;120;40.86
296;0;186;0;1090;769;7;18.91
296;0;186;0;1090;769;28;25.18
297;0;186;0;1040;734;7;30.96
480;0;192;0;936;721;28;43.89
480;0;192;0;936;721;90;54.28
397;0;186;0;1040;734;28;36.94
281;0;186;0;1104;774;7;14.5
281;0;185;0;1104;774;28;22.44
500;0;200;0;1125;613;1;12.64
500;0;200;0;1125;613;3;26.06
500;0;200;0;1125;613;7;33.21
500;0;200;0;1125;613;14;36.94
500;0;200;0;1125;613;28;44.09
540;0;173;0;1125;613;7;52.61
540;0;173;0;1125;613;14;59.76
540;0;173;0;1125;613;28;67.31
540;0;173;0;1125;613;90;69.66
540;0;173;0;1125;613;180;71.62
540;0;173;0;1125;613;270;74.17
350;0;203;0;974;775;7;18.13
350;0;203;0;974;775;14;22.53
350;0;203;0;974;775;28;27.34
350;0;203;0;974;775;56;29.98
350;0;203;0;974;775;90;31.35
350;0;203;0;974;775;180;32.72
385;0;186;0;966;763;1;6.27
385;0;186;0;966;763;3;14.7
385;0;186;0;966;763;7;23.22
385;0;186;0;966;763;14;27.92
385;0;186;0;966;763;28;31.35
331;0;192;0;978;825;180;39
331;0;192;0;978;825;360;41.24
349;0;192;0;1047;806;3;14.99
331;0;192;0;978;825;3;13.52
382;0;186;0;1047;739;7;24
382;0;186;0;1047;739;28;37.42
382;0;186;0;1111;784;7;11.47
281;0;186;0;1104;774;28;22.44
339;0;185;0;1069;754;7;21.16
339;0;185;0;1069;754;28;31.84
295;0;185;0;1069;769;7;14.8
295;0;185;0;1069;769;28;25.18
296;0;192;0;1085;765;7;14.2
296;0;192;0;1085;765;28;21.65
296;0;192;0;1085;765;90;29.39
331;0;192;0;879;825;3;13.52
331;0;192;0;978;825;7;16.26
331;0;192;0;978;825;28;31.45
331;0;192;0;978;825;90;37.23
349;0;192;0;1047;806;7;18.13
349;0;192;0;1047;806;28;32.72
349;0;192;0;1047;806;90;39.49
349;0;192;0;1047;806;180;41.05
349;0;192;0;1047;806;360;42.13
302;0;203;0;974;817;14;18.13
302;0;203;0;974;817;180;26.74
525;0;189;0;1125;613;180;61.92
500;0;200;0;1125;613;90;47.22
500;0;200;0;1125;613;180;51.04
500;0;200;0;1125;613;270;55.16
540;0;173;0;1125;613;3;41.64
339;0;185;0;1060;754;28;31.65
393;0;192;0;940;758;3;19.11
393;0;192;0;940;758;28;39.58
393;0;192;0;940;758;90;48.79
382;0;185;0;1047;739;7;24
382;0;185;0;1047;739;28;37.42
310;0;192;0;970;850;7;14.99
310;0;192;0;970;850;28;27.92
310;0;192;0;970;850;90;34.68
310;0;192;0;970;850;180;37.33
310;0;192;0;970;850;360;38.11
525;0;189;0;1125;613;3;33.8
525;0;189;0;1125;613;7;42.42
525;0;189;0;1125;613;14;48.4
525;0;189;0;1125;613;28;55.94
525;0;189;0;1125;613;90;58.78
525;0;189;0;1125;613;270;67.11
322;0;203;0;974;800;14;20.77
322;0;203;0;974;800;28;25.18
322;0;203;0;974;800;180;29.59
302;0;203;0;974;817;28;21.75
397;0;185;0;1040;734;28;39.09
480;0;192;0;936;721;3;24.39
522;0;146;0;896;896;7;50.51
522;0;146;0;896;896;28;74.99
374;0;190;7;1013;730;28;39.05
305;100;196;10;959;705;28;30.12
298;107;186;6;879;815;28;42.64
318;126;210;6;861;737;28;40.06
356;142;193;11;801;778;28;40.87
314;113;170;10;925;783;28;38.46
321;128;182;11;870;780;28;37.26
298;107;210;11;880;744;28;31.87
322;116;196;10;818;813;28;31.18
313;113;178;8;1002;689;28;36.8
326;138;199;11;801;792;28;40.68
336;0;182;3;986;817;28;44.86
298;107;164;13;953;784;28;35.86
313;0;178;8;1000;822;28;31.18
313.3;113;178.5;8;1001.9;688.7;28;36.8
326.5;137.9;199;10.8;801.1;792.5;28;38.63
336.5;0;181.9;3.4;985.8;816.8;28;44.87
298.1;107.5;163.6;12.8;953.2;784;28;35.87
312.7;0;178.1;8;999.7;822.2;28;25.1
374.3;0;190.2;6.7;1013.2;730.4;28;39.06
304.8;99.6;196;9.8;959.4;705.2;28;30.12
298.1;107;186.4;6.1;879;815.2;28;42.64
317.9;126.5;209.7;5.7;860.5;736.6;28;40.06
355.9;141.6;193.3;11;801.4;778.4;28;40.87
313.8;112.6;169.9;10.1;925.3;782.9;28;38.46
321.4;127.9;182.5;11.5;870.1;779.7;28;37.27
298.2;107;209.7;11.1;879.6;744.2;28;31.88
322.2;115.6;196;10.4;817.9;813.4;28;31.18